Shape_Leng,7710.73418945
MEAN_ALL,30.171634880620417
PcntSpeed_85thAll,40.8577965221897
PcntSpeed_5thAll,12.929211507124348
TotalIntervals_85thAll,15103.786186465833
PcntInterval_85thAll,14.36805081689631
StdDev_85thAll,10.418956121876773
MEAN_Wkd,29.471925238737448
PcntSpeed_85thWd,39.985651998244144
PcntSpeed_5thWd,12.662901298724774
TotalIntervals_85thWd,12890.507073522012
PcntInterval_85thWd,17.621426944869384
StdDev_85thWd,10.268598567493484
MEAN_WEnd,34.23492047680704
PcntSpeed_85thWend,43.94469223266942
TotalIntervals_85thWend,2070.0071190739536
PcntInterval_85thWend,6.910941667172566
StdDev_85thWend,10.2039537822944
MEAN_Wdtime,28.879073074429137
PcntSpeed_60thWdtime,31.6869160141459
PcntSpeed_85thWdtime,39.10825751647666
PcntSpeed_5thWdtime,12.381490208495794
TotalIntervals_Wdtime,11843.479963947395
PcntInterval_Wdtime,16.189973607857553
StdDev_Wdtime,10.02260019038585
MEAN_WkdAM,30.610142475567056
PcntSpeed_5thWdayAM,14.85176121199348
AvgSpeed_WdayAM,30.610142475567056
TotalIntervals_WdayAM,1858.6758018407418
PcntInterval_WdayAM,2.5406439786388173
StdDev_WdayAM,10.121161889066567
MEAN_WkdMD,30.106170816701376
PcntSpeed_5thWdayMD,13.69958311360491
AvgSpeed_WdayMD,30.106170816701376
TotalIntervals_WdayMD,6274.062882865158
PcntInterval_WdayMD,8.576890483831647
StdDev_WdayMD,9.602589911601322
MEAN_WkdPM,24.499999897481644
PcntSpeed_5thWdayPM,10.168141081247118
AvgSpeed_WdayPM,24.499999897481644
TotalIntervals_WdayPM,2955.7757996379146
PcntInterval_WdayPM,4.040577864052824
StdDev_WdayPM,9.331342400916132
TTI_SL_AM,1.4542055080296425
PTI_SL_AM,3.0740040045114423
TTI_85thALL_AM,1.3394891364649855
PTI_85thALL_AM,2.8307831148410543
BTI_AM,1.1095142498433166
TTI_SL_MD,1.4658462968566535
PTI_SL_MD,3.286799483563734
TTI_85th_MD,1.3157440572643004
PTI_85th_MD,2.949735482935262
BTI_MD,1.2393187863820159
TTI_SL_PM,1.7508717271487324
PTI_SL_PM,4.363505871958254
TTI_85th_PM,1.3997302258996536
PTI_85th_PM,3.5026248222724683
BTI_PM,1.5016774041217977
TTI_85thWd_AM,1.3411482873604026
PTI_85thWd_AM,2.80374218880967
TTI_85thWd_MD,1.3151097818684436
PTI_85thWd_MD,2.9219550159073133
TTI_85thWd_PM,1.3685319923668129
PTI_85thWd_PM,3.2995457429778776
TTI_60thWdtime_AM,1.0761483841095698
PTI_60thWdtime_AM,2.2503229725107032
TTI_85thWdtime_AM,1.3411482873604026
PTI_85thWdtime_AM,2.80374218880967
TTI_60thWdtime_MD,1.0977158667623341
PTI_60thWdtime_MD,2.439069321413904
TTI_85thWdtime_MD,1.3151097818684436
PTI_85thWdtime_MD,2.9219550159073133
TTI_60thWdtime_PM,1.0730936001592593
PTI_60thWdtime_PM,2.5882779902690487
TTI_85thWdtime_PM,1.3685319923668129
PTI_85thWdtime_PM,0.140732931552026
Weight,1.0
