LINK_DIR,MEAN_x,SPDLIMIT_x,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_y,SPDLIMIT_y,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN,SPDLIMIT,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend
107034533T,27.451,44.734,41.627,6.834,6720,6.393,12.715,27.142,44.734,41.627,6.834,5866,7.804,12.688,29.571,44.734,42.248,854,2.851,12.706
107034534T,38.48,49.704,49.393,19.882,5939,5.65,10.641,37.971,49.704,49.083,19.882,5183,6.895,10.542,41.972,49.704,51.568,756,2.524,10.668
107034535F,29.65,44.734,42.87,9.941,6994,6.653,12.602,29.078,44.734,42.248,9.941,6100,8.115,12.537,33.55,44.734,46.287,894,2.985,12.356
107034536F,41.101,49.704,50.947,23.609,6599,6.278,10.05,40.541,49.704,50.325,23.609,5751,7.651,10.004,44.906,49.704,53.432,848,2.831,9.529
107034547T,31.006,44.734,40.384,14.29,16693,15.88,9.391,30.789,44.734,39.763,14.29,14557,19.366,9.257,32.49,44.734,41.627,2136,7.131,10.137
107218265T,35.293,44.734,46.598,18.639,7321,6.964,10.388,35.078,44.734,45.976,18.639,6352,8.45,10.313,36.705,44.734,47.84,969,3.235,10.765
107218266T,32.61,44.734,45.355,11.805,7503,7.138,12.075,32.19,44.734,44.734,11.805,6502,8.65,12.047,35.342,44.734,47.219,1001,3.342,11.9
107218273F,41.217,44.734,49.083,26.095,13247,12.602,8.614,40.91,44.734,49.083,26.095,11599,15.431,8.624,43.372,44.734,50.947,1648,5.502,8.228
107218274F,41.069,44.734,49.083,26.095,13474,12.818,8.576,40.663,44.734,48.772,26.095,11790,15.685,8.536,43.911,44.734,51.754,1684,5.622,8.313
107373569T,33.782,44.734,41.938,19.882,16597,15.789,8.216,33.292,44.734,41.316,19.882,14462,19.24,8.121,37.099,44.734,44.734,2135,7.128,8.086
107373570F,28.686,44.734,39.142,13.047,15812,15.042,10.002,28.204,44.734,38.521,12.426,13634,18.138,9.914,31.703,44.734,42.248,2178,7.272,10.027
107410437F,34.007,44.734,42.87,18.018,4768,4.536,9.24,33.684,44.734,42.87,18.018,4154,5.526,9.124,36.197,44.734,45.355,614,2.05,9.723
107410438F,34.302,44.734,42.87,18.018,4727,4.497,9.475,33.901,44.734,42.87,18.018,4117,5.477,9.271,37.012,44.734,46.598,610,2.037,10.357
107410440T,30.044,44.734,41.006,14.29,4747,4.516,10.107,29.874,44.734,41.006,14.29,4133,5.498,9.781,31.192,44.734,44.112,614,2.05,12.019
107410441T,32.817,44.734,43.491,15.532,4559,4.337,10.597,32.159,44.734,42.248,15.532,3976,5.289,10.263,37.308,44.734,48.461,583,1.946,11.7
111938004T,42.77,49.704,51.568,25.473,5503,5.235,9.356,42.227,49.704,50.947,24.852,4817,6.408,9.286,46.586,49.704,54.053,686,2.29,8.958
111938038F,35.272,55.296,45.976,12.426,3533,3.361,11.458,35.774,55.296,45.976,13.669,3209,4.269,11.094,30.302,55.296,44.112,324,1.082,13.628
111938038T,35.619,55.296,44.734,18.018,3209,3.053,9.778,35.902,55.296,44.734,18.639,2945,3.918,9.538,32.451,55.296,44.734,264,0.881,11.694
111981560T,29.694,44.734,41.627,10.562,7060,6.716,11.534,29.264,44.734,41.006,9.941,6142,8.171,11.55,32.572,44.734,42.87,918,3.065,11.01
111981561T,25.817,44.734,39.763,5.592,7052,6.709,12.995,25.402,44.734,39.142,5.592,6141,8.17,12.964,28.61,44.734,41.006,911,3.042,12.863
111981626F,28.215,44.734,40.384,8.698,10017,9.529,11.491,28.101,44.734,40.384,8.698,8584,11.42,11.506,28.903,44.734,40.695,1433,4.784,11.383
111981628T,26.967,44.734,39.142,7.456,9584,9.117,11.372,27.087,44.734,39.142,7.456,8221,10.937,11.331,26.243,44.734,38.521,1363,4.551,11.595
111981912T,40.669,49.704,49.083,24.852,6135,5.836,8.916,40.393,49.704,49.083,24.852,5326,7.085,8.9,42.49,49.704,50.947,809,2.701,8.809
111981913F,37.727,49.704,49.704,18.018,6529,6.211,11.248,37.363,49.704,49.083,18.018,5683,7.56,11.254,40.174,49.704,51.382,846,2.825,10.902
111981915T,44.072,49.704,52.189,28.58,6316,6.008,8.869,43.648,49.704,52.189,28.58,5477,7.286,8.877,46.835,49.704,54.488,839,2.801,8.312
111981916F,44.2,49.704,52.81,27.958,6747,6.418,9.038,43.727,49.704,52.189,27.337,5869,7.808,9.052,47.358,49.704,54.985,878,2.931,8.282
111981932T,44.39,49.704,52.81,28.58,6434,6.121,8.745,44.024,49.704,52.189,27.958,5593,7.441,8.737,46.82,49.704,54.674,841,2.808,8.407
111981933T,45.142,49.704,53.432,29.015,6214,5.911,8.728,44.768,49.704,52.81,28.58,5399,7.183,8.72,47.613,49.704,55.296,815,2.721,8.37
111981934F,43.858,49.704,52.81,26.716,7217,6.865,9.438,43.529,49.704,52.189,26.219,6297,8.377,9.41,46.106,49.704,54.488,920,3.072,9.328
111981935F,44.152,49.704,52.313,27.958,7391,7.031,8.856,43.729,49.704,52.189,27.958,6446,8.575,8.897,47.033,49.704,54.674,945,3.155,8.003
111982411F,38.692,44.734,46.598,22.988,12431,11.826,8.779,38.503,44.734,46.598,22.367,10834,14.413,8.79,39.972,44.734,47.84,1597,5.332,8.599
111982413T,36.083,44.734,47.219,18.95,11935,11.354,10.394,35.882,44.734,47.219,18.639,10386,13.817,10.336,37.434,44.734,48.461,1549,5.172,10.68
111982414F,28.48,44.734,42.248,9.32,12629,12.014,12.082,28.197,44.734,42.248,9.32,11050,14.7,12.058,30.454,44.734,43.677,1579,5.272,12.069
111982416T,31.671,44.734,42.559,12.612,12752,12.131,10.774,31.387,44.734,42.248,12.426,11180,14.873,10.808,33.694,44.734,43.491,1572,5.248,10.309
111986234F,44.035,49.704,52.81,24.541,6154,5.854,10.192,43.701,49.704,52.81,24.852,5371,7.145,10.034,46.325,49.704,54.674,783,2.614,10.951
111986235T,43.286,49.704,52.81,21.124,5719,5.44,10.963,42.874,49.704,52.81,20.503,5002,6.654,10.897,46.159,49.704,54.674,717,2.394,11.003
111986236T,42.072,49.704,52.189,19.882,6566,6.246,11.463,41.74,49.704,52.189,19.26,5747,7.646,11.367,44.396,49.704,54.674,819,2.734,11.87
111986960F,29.081,44.734,38.521,13.669,15041,14.308,9.262,28.696,44.734,37.899,13.669,13009,17.307,9.157,31.543,44.734,40.819,2032,6.784,9.554
111986961F,30.519,44.734,40.384,15.532,13263,12.617,9.698,29.979,44.734,39.142,14.911,11523,15.33,9.432,34.095,44.734,44.112,1740,5.809,10.637
111987063T,30.829,44.734,44.734,8.698,8361,7.954,12.962,30.476,44.734,44.112,8.698,7266,9.666,12.897,33.176,44.734,46.908,1095,3.656,13.155
111987064T,37.504,44.734,47.84,20.503,7581,7.212,9.995,36.989,44.734,47.219,20.503,6588,8.764,9.864,40.922,44.734,50.636,993,3.315,10.193
111987065F,36.342,44.734,47.84,15.532,8958,8.522,11.741,35.891,44.734,47.84,14.911,7770,10.337,11.765,39.294,44.734,49.393,1188,3.966,11.147
111987066F,37.181,44.734,47.84,19.882,8668,8.246,10.143,36.586,44.734,47.219,19.882,7535,10.024,10.095,41.141,44.734,50.512,1133,3.783,9.557
111987140F,30.932,44.734,41.006,13.047,4827,4.592,10.076,31.078,44.734,41.006,13.172,4202,5.59,9.917,29.95,44.734,41.006,625,2.087,11.048
111987140T,30.074,44.734,39.763,14.29,4702,4.473,9.339,29.976,44.734,39.763,13.669,4099,5.453,9.377,30.739,44.734,38.521,603,2.013,9.052
111987141F,32.342,44.734,42.248,13.047,3366,3.202,10.577,32.265,44.734,42.248,13.669,3022,4.02,10.401,33.022,44.734,45.976,344,1.149,12.006
111987141T,28.975,44.734,40.384,11.183,3957,3.764,10.856,29.134,44.734,40.384,11.183,3522,4.686,10.637,27.692,44.734,40.384,435,1.452,12.424
