,MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
0,37.067377608786884,7.198931582780974,72064.0,71.08585858585859,43.9,24.3,39.6,1.2111990176832275,1.156658031215414,1.2380618823973366,1.8596491228070173,1.5714285714285714,2.5416666666666665,0.5353786583844333,0.3585939223344321,1.0529399239277755,All
0,37.117955937746196,7.369084178656122,52562.0,72.71193005754759,43.9,23.3,40.0,1.205041933486738,1.131946542686589,1.2635036652333271,1.8565022421524662,1.5444839857651245,2.7133757961783442,0.5406121484758255,0.3644495808957633,1.1475013257498339,Wkd
0,36.93105835299061,6.717196520017887,19502.0,67.0448294829483,43.9,26.7,38.7,1.1944363053482454,1.1757176216437277,1.180601424252462,1.6853932584269664,1.505703422053232,1.6412213740458015,0.41103652901406007,0.28066756365202994,0.3901570338058813,Wend
0,34.35565091101091,7.082109526040708,7574.0,84.15555555555555,41.4,22.3,36.6,1.205041933486738,,,1.8565022421524662,,,0.5406121484758255,,,WkdAM
0,38.34103322317095,5.726413947561634,17247.0,95.43492695883134,43.4,28.1,40.4,,1.131946542686589,,,1.5444839857651245,,,0.3644495808957633,,WkdMD
0,33.71577081427239,9.047532766443386,8744.0,96.7684816290394,42.6,15.7,37.9,,,1.2635036652333271,,,2.7133757961783442,,,1.1475013257498339,WkdPM
