,MEAN,STDDEV,85th_Speed,60th_Speed,TotalIntervals,PctInterval,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
0,29.81098952067354,8.607630216494,38.7,31.8,68993.0,0.6767204174513497,1.1899753169334535,1.2518977062633072,1.337866105169982,1.1899753169334535,1.2518977062633072,1.337866105169982,0.4212936384130639,0.7423548178793653,0.7532309296348456,All
0,29.615513465520667,8.567302746073095,38.4,31.6,50685.0,0.6983713624338624,1.1750782849712695,1.2469267632442664,1.3397153463474734,1.1750782849712695,1.2469267632442664,1.3397153463474734,0.3608932601307997,0.7409892384546579,0.7092101532662918,Wkd
0,30.35215752676466,8.695644802456618,39.5,32.4,18308.0,0.6232298474945533,1.255729558608391,1.26409191766568,1.3065084487467291,1.255729558608391,1.26409191766568,1.3065084487467291,0.614923343041736,0.760639178998515,0.8555122445383985,Wend
0,32.25317026509995,6.0830254175145075,37.9,33.0,7318.0,0.8098716246126605,1.1750782849712695,,,1.59915611814346,,,0.3608932601307997,,,WkdAM
0,27.507629967583597,6.714553614903324,34.3,29.6,16658.0,0.9180996472663139,,1.2469267632442664,,,2.1708860759493667,,,0.7409892384546579,,WkdMD
0,23.58710011507483,7.366236736321323,31.6,24.3,8690.0,0.9578924162257496,,,1.3397153463474734,,,2.289855072463768,,,0.7092101532662918,WkdPM
