,MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
0,34.00530620224527,9.138995435248694,61381.0,60.205783113622104,43.3,18.9,36.7,1.2329087148750393,1.1970075472807462,1.3583854033580154,1.6908396946564885,1.9949748743718596,2.769230769230769,0.3714232645584492,0.6666351677596882,1.0386193508742467,All
0,33.08188508222882,9.31654186380855,44571.0,61.41286375661375,42.9,17.8,35.5,1.2281717563473102,1.2004313202853283,1.1735356800262278,1.6452830188679246,1.9744897959183674,2.2357723577235773,0.3396196503990123,0.6448169608312575,0.9051592514627329,Wkd
0,36.45371802498524,8.159760287065925,16810.0,57.223583877995644,44.1,20.9,38.8,1.2215036140682252,1.1588621452368373,1.2275975430866515,1.840637450199203,1.9807692307692308,2.2204301075268815,0.5068620583683325,0.7092362874312543,0.8087606317163747,Wend
0,35.49992073557382,7.274290919479539,6308.0,69.80965028773794,43.6,26.5,36.0,1.2281717563473102,,,1.6452830188679246,,,0.3396196503990123,,,WkdAM
0,32.23841243229265,6.953609129980776,15508.0,85.47178130511463,38.7,19.6,34.6,,1.2004313202853283,,,1.9744897959183674,,,0.6448169608312575,,WkdMD
0,23.433458792991615,5.690367495427418,7705.0,84.93165784832452,27.5,12.3,25.0,,,1.1735356800262278,,,2.2357723577235773,,,0.9051592514627329,WkdPM
