LINK_DIR,MEAN_ALL,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_Wkd,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN_WEnd,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend,MEAN_Wdtime,PcntSpeed_60thWdtime,PcntSpeed_85thWdtime,PcntSpeed_5thWdtime,TotalIntervals_Wdtime,PcntInterval_Wdtime,StdDev_Wdtime,MEAN_WkdAM,PcntSpeed_5thWdayAM,AvgSpeed_WdayAM,TotalIntervals_WdayAM,PcntInterval_WdayAM,StdDev_WdayAM,MEAN_WkdMD,PcntSpeed_5thWdayMD,AvgSpeed_WdayMD,TotalIntervals_WdayMD,PcntInterval_WdayMD,StdDev_WdayMD,MEAN_WkdPM,PcntSpeed_5thWdayPM,AvgSpeed_WdayPM,TotalIntervals_WdayPM,PcntInterval_WdayPM,StdDev_WdayPM,TTI_SL_AM,PTI_SL_AM,TTI_85thALL_AM,PTI_85thALL_AM,BTI_AM,TTI_SL_MD,PTI_SL_MD,TTI_85thAll_MD,PTI_85thAll_MD,BTI_MD,TTI_SL_PM,PTI_SL_PM,TTI_85thAll_PM,PTI_85thAll_PM,BTI_PM,TTI_85thWd_AM,PTI_85thWd_AM,TTI_85thWd_MD,PTI_85thWd_MD,TTI_85thWd_PM,PTI_85thWd_PM,TTI_60thWdtime_AM,PTI_60thWdtime_AM,TTI_85thWdtime_AM,PTI_85thWdtime_AM,TTI_60thWdtime_MD,PTI_60thWdtime_MD,TTI_85thWdtime_MD,PTI_85thWdtime_MD,TTI_60thWdtime_PM,PTI_60thWdtime_PM,TTI_85thWdtime_PM,PTI_85thWdtime_PM
107030487T,31.936,40.695,17.396,16873,16.051,8.713,31.416,39.763,16.775,14557,19.9,8.642,35.174,43.491,2151,7.181,8.445,30.342,32.618,38.521,15.532,12271,28.757,8.429,30.825,17.086,30.825,2558,27.975,8.58,30.991,17.396,30.991,6140,33.574,8.095,27.75,11.183,27.75,2714,29.681,9.002,1.43,2.572,1.291,2.321,0.798,1.42,2.572,1.262,2.286,0.811,1.558,3.6,1.32,3.05,1.311,1.29,2.327,1.263,2.25,1.321,3.278,1.048,1.891,1.29,2.327,1.073,1.911,1.263,2.25,1.097,2.722,1.321,3.278
107030488F,31.608,42.248,14.787,15513,14.757,10.212,30.85,41.006,14.29,13240,18.099,10.072,35.959,45.541,2129,7.108,9.917,30.345,32.929,40.384,14.29,12106,28.37,9.825,33.14,18.018,33.14,1889,20.658,9.506,31.613,16.154,31.613,6459,35.318,9.161,25.074,10.562,25.074,2995,32.754,9.436,1.343,2.483,1.287,2.379,0.849,1.393,2.769,1.283,2.55,0.988,1.695,4.235,1.401,3.5,1.498,1.294,2.379,1.277,2.5,1.383,3.282,1.076,1.979,1.294,2.379,1.081,2.115,1.277,2.5,1.065,2.529,1.383,3.282
107030561T,28.725,38.521,10.562,16724,15.909,9.984,28.764,38.521,11.183,14292,19.537,9.75,28.244,39.887,2259,7.542,11.261,27.618,30.444,36.967,10.562,12056,28.253,9.449,29.09,12.426,29.09,2615,28.598,9.365,27.675,11.805,27.675,5935,32.453,8.985,26.342,8.698,26.342,2599,28.423,10.105,1.526,3.6,1.314,3.1,1.359,1.613,4.0,1.321,3.278,1.481,1.718,5.143,1.408,4.214,1.993,1.303,3.05,1.325,3.105,1.392,4.214,1.089,2.55,1.303,3.05,1.1,2.579,1.325,3.105,1.116,3.379,1.392,4.214
107030565F,31.511,42.248,9.32,10584,10.068,11.487,30.767,41.627,9.009,8732,11.937,11.433,34.918,44.112,1717,5.733,11.081,30.334,34.793,41.006,8.698,7907,18.53,11.416,31.686,10.562,31.686,1295,14.162,11.357,30.716,9.32,30.716,3967,21.692,10.781,27.818,5.902,27.818,2097,22.933,12.071,1.4,4.235,1.361,4.118,2.026,1.426,4.5,1.313,4.144,2.156,1.539,6.546,1.4,5.955,3.253,1.353,4.059,1.329,4.38,1.429,6.737,1.118,3.353,1.353,4.059,1.133,3.733,1.329,4.38,1.139,5.369,1.429,6.737
107030568T,24.338,36.657,6.213,15038,14.306,11.383,24.363,36.657,6.213,12628,17.263,11.386,23.97,36.035,2231,7.449,11.324,23.483,26.095,36.035,6.213,10752,25.197,11.206,26.864,7.456,26.864,2353,25.733,11.493,23.162,6.213,23.162,5152,28.171,10.802,21.202,4.97,21.202,2386,26.094,11.021,1.659,6.0,1.452,5.25,2.615,1.926,7.2,1.498,5.6,2.737,2.086,8.78,1.535,6.463,3.21,1.457,5.25,1.502,5.6,1.553,6.626,1.133,4.083,1.457,5.25,1.1,4.1,1.502,5.6,1.084,4.625,1.553,6.626
107034530F,34.026,47.84,11.805,6940,6.602,12.877,33.797,47.84,11.805,5917,8.089,12.816,35.173,49.083,949,3.168,13.188,33.672,38.521,47.84,11.805,5403,12.662,12.853,34.337,13.047,34.337,1191,13.025,13.08,33.984,12.426,33.984,2576,14.086,12.719,32.196,10.562,32.196,1258,13.758,12.857,1.438,3.81,1.42,3.762,1.649,1.449,4.21,1.413,4.105,1.906,1.528,4.706,1.432,4.412,2.081,1.411,3.714,1.408,3.85,1.447,4.412,1.14,3.0,1.411,3.714,1.134,3.1,1.408,3.85,1.139,3.471,1.447,4.412
107034533T,27.451,41.627,6.834,6720,6.393,12.715,27.115,41.627,6.834,5803,7.933,12.673,29.571,42.248,854,2.851,12.706,26.654,30.444,41.006,6.834,5354,12.547,12.521,26.303,6.834,26.303,867,9.482,12.539,28.836,9.009,28.836,2548,13.933,12.044,24.15,4.97,24.15,1621,17.727,12.636,1.671,6.0,1.531,5.5,2.591,1.559,5.143,1.472,4.857,2.3,1.79,8.674,1.566,7.59,3.846,1.535,5.909,1.465,4.69,1.595,7.751,1.157,4.455,1.535,5.909,1.12,3.586,1.465,4.69,1.142,5.551,1.595,7.751
107034534T,38.48,49.393,19.882,5939,5.65,10.641,37.938,49.083,19.882,5130,7.013,10.544,41.972,51.568,756,2.524,10.668,37.425,41.006,48.461,19.26,4700,11.014,10.437,38.512,22.056,38.512,788,8.618,9.726,39.072,22.367,39.072,2132,11.658,9.515,34.699,16.154,34.699,1516,16.579,11.029,1.279,2.222,1.263,2.194,0.737,1.265,2.286,1.249,2.257,0.807,1.396,2.963,1.343,2.852,1.123,1.274,2.225,1.24,2.167,1.343,2.885,1.081,1.887,1.274,2.225,1.081,1.889,1.24,2.167,1.128,2.423,1.343,2.885
107034535F,29.65,42.87,9.941,6994,6.653,12.602,29.065,42.248,9.941,6033,8.247,12.53,33.55,46.287,894,2.985,12.356,28.625,32.618,41.627,9.32,5664,13.273,12.451,29.609,9.32,29.609,1411,15.431,12.35,29.054,9.941,29.054,2738,14.972,12.242,26.332,7.456,26.332,1235,13.506,12.794,1.498,4.5,1.435,4.312,2.005,1.506,4.5,1.422,4.25,1.988,1.641,5.538,1.527,5.154,2.376,1.448,4.6,1.433,4.187,1.534,5.416,1.133,3.6,1.448,4.6,1.155,3.375,1.433,4.187,1.121,3.958,1.534,5.416
107034536F,41.101,50.947,23.609,6599,6.278,10.05,40.493,50.325,23.609,5691,7.78,10.006,44.906,53.432,848,2.831,9.529,40.235,43.802,50.015,22.988,5310,12.444,9.987,39.992,23.609,39.992,1348,14.742,10.06,40.867,24.231,40.867,2516,13.758,9.627,39.354,21.124,39.354,1182,12.927,10.723,1.23,2.105,1.245,2.132,0.712,1.197,2.051,1.227,2.103,0.714,1.241,2.286,1.257,2.314,0.841,1.258,2.132,1.231,2.077,1.263,2.353,1.087,1.842,1.258,2.132,1.079,1.82,1.231,2.077,1.105,2.059,1.263,2.353
107034547T,31.006,40.384,14.29,16693,15.88,9.391,30.728,39.763,14.29,14396,19.68,9.249,32.49,41.627,2136,7.131,10.137,29.704,32.308,38.521,13.669,12157,28.489,9.005,30.454,14.29,30.454,2586,28.281,9.192,29.942,14.29,29.942,6074,33.213,8.725,28.138,11.805,28.138,2643,28.904,9.398,1.46,3.13,1.298,2.783,1.144,1.474,3.13,1.289,2.739,1.124,1.568,3.789,1.328,3.21,1.417,1.285,2.739,1.287,2.696,1.347,3.21,1.081,2.304,1.285,2.739,1.1,2.304,1.287,2.696,1.1,2.621,1.347,3.21
107218265T,35.293,46.598,18.639,7321,6.964,10.388,35.073,45.976,18.639,6273,8.575,10.3,36.705,47.84,969,3.235,10.765,34.778,37.899,45.976,18.639,5822,13.644,10.297,35.249,19.26,35.249,828,9.055,10.558,34.971,18.639,34.971,3164,17.301,10.079,33.693,16.775,33.693,1463,16.0,10.64,1.265,2.4,1.317,2.5,0.898,1.274,2.4,1.309,2.467,0.885,1.313,2.667,1.349,2.741,1.032,1.322,2.419,1.315,2.467,1.346,2.704,1.093,2.0,1.322,2.419,1.093,2.05,1.315,2.467,1.088,2.185,1.346,2.704
107218266T,32.61,45.355,11.805,7503,7.138,12.075,32.183,44.734,11.805,6421,8.778,12.045,35.342,47.219,1001,3.342,11.9,31.822,35.414,44.734,11.805,5951,13.946,12.049,32.544,8.698,32.544,852,9.318,12.969,32.478,13.669,32.478,3244,17.738,11.563,30.129,10.562,30.129,1487,16.262,12.187,1.366,4.8,1.423,5.0,2.513,1.362,3.273,1.381,3.318,1.402,1.447,4.114,1.427,4.057,1.843,1.413,5.286,1.377,3.273,1.464,4.176,1.145,4.286,1.413,5.286,1.11,2.636,1.377,3.273,1.093,3.118,1.464,4.176
107218273F,41.217,49.083,26.095,13247,12.602,8.614,40.891,49.083,26.095,11467,15.676,8.619,43.372,50.947,1648,5.502,8.228,40.578,43.491,48.461,25.473,10529,24.674,8.619,40.423,22.367,40.423,2180,23.841,9.663,41.104,27.337,41.104,5321,29.096,8.185,39.649,24.852,39.649,2493,27.264,8.479,1.098,1.946,1.22,2.162,0.773,1.082,1.636,1.188,1.795,0.512,1.114,1.756,1.192,1.878,0.576,1.214,2.194,1.182,1.777,1.191,1.9,1.107,2.0,1.214,2.194,1.073,1.614,1.182,1.777,1.081,1.725,1.191,1.9
107218274F,41.069,49.083,26.095,13474,12.818,8.576,40.635,48.648,26.095,11650,15.926,8.524,43.911,51.754,1684,5.622,8.313,40.288,43.491,48.461,25.473,10680,25.028,8.511,39.413,21.124,39.413,2208,24.147,9.831,40.649,26.716,40.649,5396,29.506,8.183,40.177,26.095,40.177,2526,27.625,7.936,1.125,2.057,1.234,2.257,0.829,1.09,1.674,1.196,1.837,0.536,1.099,1.714,1.191,1.857,0.559,1.23,2.294,1.192,1.814,1.191,1.833,1.103,2.059,1.23,2.294,1.07,1.628,1.192,1.814,1.067,1.643,1.191,1.833
107373569T,33.782,41.938,19.882,16597,15.789,8.216,33.243,41.006,19.882,14301,19.55,8.109,37.099,44.734,2135,7.128,8.086,32.356,34.482,40.074,19.26,12033,28.199,7.92,32.557,19.882,32.557,2549,27.876,8.207,32.68,19.882,32.68,6012,32.874,7.554,30.735,16.154,30.735,2618,28.631,8.459,1.359,2.25,1.246,2.062,0.656,1.342,2.182,1.23,2.0,0.626,1.42,2.667,1.262,2.37,0.878,1.25,2.047,1.236,2.031,1.274,2.423,1.05,1.719,1.25,2.047,1.065,1.75,1.236,2.031,1.092,2.077,1.274,2.423
107373570F,28.686,39.142,13.047,15812,15.042,10.002,28.161,38.521,12.426,13493,18.445,9.896,31.703,42.248,2178,7.272,10.027,27.415,29.822,37.278,12.426,12349,28.939,9.505,30.216,16.775,30.216,1906,20.844,9.363,28.994,14.725,28.994,6554,35.838,8.73,21.757,9.941,21.757,3082,33.705,8.594,1.471,2.667,1.328,2.407,0.813,1.528,3.0,1.305,2.563,0.963,1.972,4.5,1.397,3.187,1.282,1.337,2.407,1.307,2.574,1.371,3.0,1.049,1.889,1.337,2.407,1.071,2.11,1.307,2.574,1.057,2.312,1.371,3.0
107410437F,34.007,42.87,18.018,4768,4.536,9.24,33.625,42.248,18.018,4102,5.608,9.114,36.197,45.355,614,2.05,9.723,33.111,35.414,41.627,18.018,3791,8.884,8.883,33.892,18.018,33.892,598,6.54,9.173,33.636,19.26,33.636,2041,11.16,8.388,31.16,15.532,31.16,937,10.247,9.36,1.302,2.483,1.248,2.379,0.907,1.325,2.323,1.251,2.194,0.753,1.405,2.769,1.288,2.538,0.971,1.247,2.345,1.238,2.161,1.276,2.56,1.082,2.034,1.247,2.345,1.071,1.871,1.238,2.161,1.057,2.12,1.276,2.56
107410438F,34.302,42.87,18.018,4727,4.497,9.475,33.832,42.87,18.018,4067,5.56,9.25,37.012,46.598,610,2.037,10.357,33.258,36.035,41.627,18.018,3758,8.807,9.021,33.99,18.018,33.99,589,6.441,9.007,33.745,19.26,33.745,2017,11.029,8.559,31.238,15.532,31.238,936,10.236,9.498,1.297,2.483,1.243,2.379,0.914,1.316,2.323,1.243,2.194,0.765,1.396,2.88,1.28,2.64,1.063,1.243,2.345,1.234,2.161,1.293,2.6,1.078,2.034,1.243,2.345,1.077,1.887,1.234,2.161,1.074,2.16,1.293,2.6
107410440T,30.044,41.006,14.29,4747,4.516,10.107,29.828,41.006,14.29,4074,5.569,9.761,31.192,44.112,614,2.05,12.019,29.238,31.686,39.763,14.29,3735,8.753,9.583,30.804,16.775,30.804,787,8.607,9.05,29.315,14.29,29.315,1950,10.663,9.465,27.189,13.047,27.189,789,8.629,9.675,1.425,2.667,1.346,2.519,0.871,1.52,3.273,1.351,2.909,1.153,1.642,3.6,1.396,3.06,1.192,1.331,2.444,1.356,2.783,1.394,2.905,1.069,1.963,1.331,2.444,1.091,2.239,1.356,2.783,1.074,2.238,1.394,2.905
107410441T,32.817,43.491,15.532,4559,4.337,10.597,32.08,42.248,15.532,3919,5.357,10.229,37.308,48.461,583,1.946,11.7,31.524,34.171,41.627,15.532,3586,8.404,10.114,31.825,16.775,31.825,774,8.465,9.591,31.441,15.532,31.441,1861,10.176,9.829,30.565,14.911,30.565,750,8.202,10.666,1.375,2.667,1.336,2.593,0.94,1.395,2.88,1.317,2.72,1.065,1.434,3.0,1.334,2.792,1.092,1.328,2.519,1.324,2.68,1.342,2.75,1.093,2.074,1.328,2.519,1.087,2.2,1.324,2.68,1.098,2.25,1.342,2.75
111938004T,42.77,51.568,25.473,5503,5.235,9.356,42.212,50.947,24.852,4765,6.514,9.291,46.586,54.053,686,2.29,8.958,41.786,45.355,50.636,24.852,4362,10.222,9.24,41.781,24.541,41.781,746,8.158,9.304,42.885,27.958,42.885,1987,10.865,8.44,39.932,21.746,39.932,1397,15.278,9.844,1.177,2.025,1.192,2.051,0.72,1.146,1.778,1.189,1.844,0.552,1.224,2.222,1.239,2.25,0.816,1.204,2.051,1.188,1.822,1.245,2.286,1.086,1.848,1.204,2.051,1.072,1.644,1.188,1.822,1.105,2.029,1.245,2.286
111938038F,35.272,45.976,12.426,3533,3.361,11.458,35.829,45.976,13.669,3179,4.346,11.06,30.302,44.112,324,1.082,13.628,35.309,39.142,44.734,13.669,2948,6.909,10.686,36.73,15.532,36.73,491,5.37,10.47,35.935,14.911,35.935,1520,8.311,10.291,33.614,11.805,33.614,793,8.672,10.98,1.51,3.56,1.273,3.0,1.358,1.554,3.87,1.257,3.13,1.489,1.669,5.235,1.331,4.176,2.138,1.269,3.0,1.245,3.0,1.312,3.737,1.108,2.62,1.269,3.0,1.107,2.667,1.245,3.0,1.127,3.21,1.312,3.737
111938038T,35.619,44.734,18.018,3209,3.053,9.778,35.935,44.734,18.639,2914,3.983,9.518,32.451,44.734,264,0.881,11.694,35.878,39.142,44.734,18.639,2678,6.276,9.514,37.841,21.124,37.841,631,6.901,8.45,36.409,19.882,36.409,1376,7.524,9.012,32.871,15.532,32.871,562,6.146,10.59,1.466,2.618,1.219,2.176,0.786,1.533,2.871,1.241,2.323,0.872,1.677,3.56,1.319,2.8,1.123,1.215,2.176,1.229,2.25,1.304,2.76,1.067,1.912,1.215,2.176,1.092,2.0,1.229,2.25,1.096,2.32,1.304,2.76
111981560T,29.694,41.627,10.562,7060,6.716,11.534,29.239,41.006,9.941,6077,8.307,11.533,32.572,42.87,918,3.065,11.01,28.956,32.929,41.006,9.941,5651,13.243,11.505,24.142,6.834,24.142,815,8.913,12.287,30.411,11.805,30.411,2948,16.12,11.053,29.062,9.941,29.062,1535,16.787,10.989,1.809,6.546,1.608,5.818,2.618,1.47,3.789,1.368,3.526,1.578,1.497,4.235,1.362,3.853,1.829,1.596,5.637,1.369,3.526,1.368,4.0,1.107,3.909,1.596,5.637,1.124,2.895,1.369,3.526,1.133,3.312,1.368,4.0
111981561T,25.817,39.763,5.592,7052,6.709,12.995,25.403,39.142,5.592,6078,8.309,12.953,28.61,41.006,911,3.042,12.863,25.062,27.958,38.521,5.592,5643,13.224,12.833,20.175,3.728,20.175,919,10.05,12.843,26.515,6.213,26.515,2927,16.005,12.671,25.559,5.592,25.559,1453,15.89,12.464,2.157,10.286,1.738,8.286,3.768,1.68,7.2,1.493,6.4,3.286,1.713,7.2,1.498,6.3,3.204,1.725,9.333,1.5,6.4,1.531,7.0,1.078,5.833,1.725,9.333,1.101,4.7,1.5,6.4,1.118,5.111,1.531,7.0
111981626F,28.215,40.384,8.698,10017,9.529,11.491,28.075,40.384,8.698,8490,11.606,11.495,28.903,40.695,1433,4.784,11.383,27.856,31.997,39.887,8.698,7882,18.471,11.484,27.202,8.698,27.202,1282,14.02,11.413,28.786,9.32,28.786,4033,22.053,11.169,26.118,8.077,26.118,1987,21.73,11.962,1.626,5.143,1.423,4.5,2.163,1.557,4.8,1.406,4.333,2.083,1.692,5.538,1.504,4.923,2.273,1.439,4.5,1.403,4.333,1.522,4.923,1.142,3.572,1.439,4.5,1.144,3.533,1.403,4.333,1.118,3.615,1.522,4.923
111981628T,26.967,39.142,7.456,9584,9.117,11.372,27.089,39.142,7.456,8129,11.112,11.332,26.243,38.521,1363,4.551,11.595,26.692,30.444,38.521,7.456,7427,17.405,11.257,25.351,6.834,25.351,1316,14.392,11.229,27.899,8.698,27.899,3804,20.801,11.102,24.911,6.213,24.911,1799,19.674,11.113,1.736,6.261,1.471,5.304,2.606,1.619,5.143,1.416,4.5,2.178,1.802,7.2,1.476,5.9,2.996,1.47,5.455,1.403,4.5,1.472,5.9,1.127,4.182,1.47,5.455,1.136,3.643,1.403,4.5,1.147,4.6,1.472,5.9
111981912T,40.669,49.083,24.852,6135,5.836,8.916,40.37,49.083,24.852,5265,7.197,8.909,42.49,50.947,809,2.701,8.809,40.111,42.87,48.461,24.231,4658,10.916,8.978,40.687,24.231,40.687,752,8.224,9.434,40.235,24.231,40.235,2250,12.303,8.827,39.082,22.988,39.082,1355,14.818,8.78,1.21,2.0,1.21,2.0,0.652,1.224,2.0,1.209,1.975,0.634,1.261,2.162,1.229,2.108,0.715,1.206,2.026,1.204,2.0,1.224,2.081,1.069,1.795,1.206,2.026,1.073,1.782,1.204,2.0,1.073,1.824,1.224,2.081
111981913F,37.727,49.704,18.018,6529,6.211,11.248,37.307,49.083,18.018,5617,7.679,11.247,40.174,51.382,846,2.825,10.902,37.148,41.006,49.083,18.018,5211,12.212,11.266,37.68,17.396,37.68,1228,13.43,11.689,37.467,18.639,37.467,2490,13.615,10.923,35.709,16.154,35.709,1173,12.828,11.557,1.306,2.857,1.322,2.893,1.188,1.312,2.667,1.312,2.667,1.032,1.37,2.963,1.336,2.889,1.163,1.336,2.893,1.31,2.633,1.34,2.961,1.138,2.464,1.336,2.893,1.103,2.217,1.31,2.633,1.114,2.461,1.34,2.961
111981915T,44.072,52.189,28.58,6316,6.008,8.869,43.627,52.189,28.58,5416,7.404,8.886,46.835,54.488,839,2.801,8.312,43.206,46.598,51.568,27.958,4784,11.211,9.004,43.741,27.337,43.741,758,8.29,9.157,43.98,29.822,43.98,2284,12.489,8.503,41.276,26.095,41.276,1438,15.726,9.456,1.123,1.778,1.179,1.867,0.583,1.121,1.667,1.177,1.75,0.487,1.187,1.86,1.231,1.93,0.567,1.193,1.909,1.173,1.729,1.219,1.929,1.065,1.705,1.193,1.909,1.06,1.563,1.173,1.729,1.069,1.69,1.219,1.929
111981916F,44.2,52.81,27.958,6747,6.418,9.038,43.674,52.189,27.337,5799,7.927,9.045,47.358,54.985,878,2.931,8.282,43.508,46.598,52.189,27.337,5390,12.631,9.091,43.745,25.473,43.745,1326,14.501,9.584,43.842,27.958,43.842,2523,13.796,8.755,42.636,26.716,42.636,1224,13.386,9.308,1.125,1.951,1.209,2.098,0.734,1.12,1.739,1.19,1.848,0.553,1.149,1.818,1.206,1.909,0.583,1.207,2.073,1.19,1.867,1.209,1.93,1.087,1.866,1.207,2.073,1.063,1.667,1.19,1.867,1.078,1.721,1.209,1.93
111981932T,44.39,52.81,28.58,6434,6.121,8.745,44.003,52.189,27.958,5535,7.566,8.745,46.82,54.674,841,2.808,8.407,43.554,46.908,51.568,27.337,4912,11.511,8.79,43.866,26.095,43.866,750,8.202,9.52,44.502,30.444,44.502,2302,12.587,8.088,41.754,24.852,41.754,1548,16.929,9.292,1.121,1.86,1.191,1.977,0.66,1.11,1.606,1.166,1.687,0.447,1.174,1.951,1.218,2.024,0.663,1.19,2.0,1.173,1.714,1.22,2.05,1.091,1.833,1.19,2.0,1.061,1.551,1.173,1.714,1.086,1.825,1.22,2.05
111981933T,45.142,53.432,29.015,6214,5.911,8.728,44.734,52.81,28.58,5343,7.304,8.735,47.613,55.296,815,2.721,8.37,44.277,47.219,52.376,27.958,4729,11.082,8.817,44.703,26.716,44.703,716,7.83,9.551,45.062,30.444,45.062,2265,12.385,8.098,42.54,25.473,42.54,1443,15.781,9.381,1.097,1.818,1.179,1.955,0.657,1.096,1.633,1.164,1.735,0.49,1.155,1.905,1.212,2.0,0.65,1.195,2.0,1.172,1.735,1.212,2.024,1.084,1.814,1.195,2.0,1.062,1.571,1.172,1.735,1.081,1.805,1.212,2.024
111981934F,43.858,52.81,26.716,7217,6.865,9.438,43.495,52.189,26.095,6234,8.522,9.409,46.106,54.488,920,3.072,9.328,43.289,47.219,52.189,26.095,5808,13.611,9.462,44.167,24.976,44.167,1413,15.453,10.103,43.878,27.958,43.878,2681,14.66,8.683,41.007,23.05,41.007,1391,15.212,10.029,1.115,1.951,1.199,2.098,0.749,1.125,1.778,1.181,1.867,0.581,1.194,2.105,1.239,2.184,0.763,1.196,2.114,1.189,1.867,1.242,2.21,1.097,1.94,1.196,2.114,1.076,1.689,1.189,1.867,1.091,1.941,1.242,2.21
111981935F,44.152,52.313,27.958,7391,7.031,8.856,43.708,52.189,27.958,6382,8.724,8.882,47.033,54.674,945,3.155,8.003,43.579,46.598,52.189,27.337,5939,13.918,8.914,44.169,27.027,44.169,1444,15.792,9.4,44.127,29.201,44.127,2754,15.059,8.326,41.779,25.473,41.779,1406,15.376,9.288,1.117,1.818,1.187,1.932,0.627,1.116,1.702,1.172,1.787,0.525,1.168,1.905,1.227,2.0,0.63,1.182,1.931,1.183,1.787,1.219,2.0,1.083,1.77,1.182,1.931,1.07,1.617,1.183,1.787,1.074,1.761,1.219,2.0
111982411F,38.692,46.598,22.988,12431,11.826,8.779,38.49,46.598,22.367,10697,14.623,8.786,39.972,47.84,1597,5.332,8.599,38.312,41.627,46.598,22.367,9121,21.375,8.992,39.131,24.852,39.131,1659,18.143,8.619,39.284,23.609,39.284,4460,24.388,8.735,36.36,18.577,36.36,2307,25.23,9.476,1.139,1.8,1.202,1.9,0.581,1.137,1.895,1.2,2.0,0.667,1.216,2.4,1.233,2.433,0.974,1.207,1.9,1.202,2.0,1.23,2.408,1.08,1.7,1.207,1.9,1.091,1.816,1.202,2.0,1.111,2.174,1.23,2.408
111982413T,36.083,47.219,18.95,11935,11.354,10.394,35.86,47.219,18.639,10239,13.997,10.326,37.434,48.461,1549,5.172,10.68,35.512,39.142,46.598,18.639,9448,22.141,10.288,36.351,20.503,36.351,1686,18.438,9.528,36.107,19.385,36.107,4874,26.651,10.389,33.375,16.154,33.375,2300,25.153,10.272,1.222,2.182,1.29,2.303,0.785,1.236,2.308,1.305,2.436,0.867,1.315,2.667,1.333,2.704,1.028,1.282,2.273,1.308,2.436,1.34,2.769,1.077,1.909,1.282,2.273,1.118,2.083,1.308,2.436,1.098,2.269,1.34,2.769
111982414F,28.48,42.248,9.32,12629,12.014,12.082,28.185,42.248,9.32,10894,14.892,12.054,30.454,43.677,1579,5.272,12.069,27.767,30.444,41.627,9.32,10079,23.62,11.908,24.73,8.077,24.73,1850,20.232,11.131,29.607,9.941,29.607,5189,28.374,12.226,25.377,8.077,25.377,2501,27.351,10.846,1.761,5.143,1.492,4.357,1.921,1.505,4.5,1.484,4.437,1.99,1.714,5.217,1.452,4.42,2.044,1.482,4.538,1.49,4.437,1.469,4.615,1.105,3.385,1.482,4.538,1.091,3.25,1.49,4.437,1.094,3.438,1.469,4.615
111982416T,31.671,42.559,12.612,12752,12.131,10.774,31.365,42.248,12.426,11041,15.093,10.797,33.694,43.491,1572,5.248,10.309,30.851,34.793,41.627,12.426,9505,22.275,10.834,33.278,13.669,33.278,1765,19.302,10.612,31.685,12.426,31.685,4690,25.645,11.034,27.902,10.562,27.902,2381,26.039,10.344,1.338,3.13,1.3,3.043,1.34,1.4,3.6,1.341,3.45,1.572,1.562,4.235,1.389,3.765,1.711,1.307,3.182,1.353,3.45,1.381,3.647,1.12,2.727,1.307,3.182,1.137,2.9,1.353,3.45,1.113,2.941,1.381,3.647
111986234F,44.035,52.81,24.541,6154,5.854,10.192,43.701,52.81,24.852,5317,7.268,9.978,46.325,54.674,783,2.614,10.951,43.571,47.219,52.189,24.852,4962,11.628,9.959,44.506,27.027,44.506,1286,14.064,9.322,44.098,25.473,44.098,2278,12.456,9.622,41.484,21.435,41.484,1140,12.467,11.085,1.112,1.86,1.196,2.0,0.673,1.122,2.051,1.192,2.179,0.829,1.174,2.286,1.247,2.428,0.947,1.187,1.954,1.183,2.049,1.243,2.406,1.089,1.793,1.187,1.954,1.085,1.878,1.183,2.049,1.108,2.145,1.243,2.406
111986235T,43.286,52.81,21.124,5719,5.44,10.963,42.873,52.81,20.503,4944,6.759,10.887,46.159,54.674,717,2.394,11.003,42.259,46.598,52.189,19.882,4500,10.546,10.943,41.002,13.047,41.002,749,8.191,13.278,43.261,22.988,43.261,2076,11.352,10.153,41.083,20.503,41.083,1446,15.814,10.632,1.191,3.81,1.266,4.048,2.198,1.144,2.222,1.211,2.353,0.943,1.192,2.353,1.236,2.441,0.975,1.273,4.0,1.206,2.27,1.24,2.485,1.152,3.619,1.273,4.0,1.091,2.054,1.206,2.27,1.104,2.212,1.24,2.485
111986236T,42.072,52.189,19.882,6566,6.246,11.463,41.745,52.189,19.882,5682,7.767,11.349,44.396,54.674,819,2.734,11.87,41.251,45.976,51.568,18.639,5071,11.884,11.438,40.086,12.426,40.086,811,8.869,13.747,42.287,21.124,42.287,2369,12.954,10.816,40.165,19.26,40.165,1579,17.268,11.179,1.218,3.81,1.278,4.0,2.129,1.173,2.424,1.232,2.545,1.066,1.219,2.581,1.265,2.677,1.117,1.302,4.2,1.219,2.441,1.268,2.645,1.162,3.75,1.302,4.2,1.102,2.206,1.219,2.441,1.098,2.29,1.268,2.645
111986960F,29.081,38.521,13.669,15041,14.308,9.262,28.652,37.899,13.669,12851,17.568,9.153,31.543,40.819,2032,6.784,9.554,28.085,30.444,37.278,13.669,11687,27.388,8.9,29.683,15.532,29.683,2040,22.31,9.291,28.385,13.669,28.385,6044,33.049,8.543,25.888,11.805,25.888,2914,31.868,8.857,1.498,2.88,1.311,2.52,0.923,1.556,3.2,1.296,2.667,1.057,1.687,3.789,1.359,3.053,1.247,1.319,2.52,1.291,2.682,1.368,3.0,1.067,2.04,1.319,2.52,1.094,2.273,1.291,2.682,1.08,2.368,1.368,3.0
