LINK_DIR,MEAN_ALL,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_Wkd,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN_WEnd,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend,MEAN_Wdtime,PcntSpeed_60thWdtime,PcntSpeed_85thWdtime,PcntSpeed_5thWdtime,TotalIntervals_Wdtime,PcntInterval_Wdtime,StdDev_Wdtime,MEAN_WkdAM,PcntSpeed_5thWdayAM,AvgSpeed_WdayAM,TotalIntervals_WdayAM,PcntInterval_WdayAM,StdDev_WdayAM,MEAN_WkdMD,PcntSpeed_5thWdayMD,AvgSpeed_WdayMD,TotalIntervals_WdayMD,PcntInterval_WdayMD,StdDev_WdayMD,MEAN_WkdPM,PcntSpeed_5thWdayPM,AvgSpeed_WdayPM,TotalIntervals_WdayPM,PcntInterval_WdayPM,StdDev_WdayPM,TTI_SL_AM,PTI_SL_AM,TTI_85thALL_AM,PTI_85thALL_AM,BTI_AM,TTI_SL_MD,PTI_SL_MD,TTI_85thAll_MD,PTI_85thAll_MD,BTI_MD,TTI_SL_PM,PTI_SL_PM,TTI_85thAll_PM,PTI_85thAll_PM,BTI_PM,TTI_85thWd_AM,PTI_85thWd_AM,TTI_85thWd_MD,PTI_85thWd_MD,TTI_85thWd_PM,PTI_85thWd_PM,TTI_60thWdtime_AM,PTI_60thWdtime_AM,TTI_85thWdtime_AM,PTI_85thWdtime_AM,TTI_60thWdtime_MD,PTI_60thWdtime_MD,TTI_85thWdtime_MD,PTI_85thWdtime_MD,TTI_60thWdtime_PM,PTI_60thWdtime_PM,TTI_85thWdtime_PM,PTI_85thWdtime_PM
107030459T,35.702,45.355,18.639,12268,11.67,9.794,35.382,44.734,18.204,10607,14.5,9.755,37.8,46.598,1533,5.118,9.713,35.112,38.521,44.734,18.018,9720,22.778,9.679,33.351,17.396,33.351,1854,20.276,10.098,36.253,18.639,36.253,5007,27.379,9.543,33.297,18.639,33.297,2314,25.306,9.18,1.33,2.572,1.293,2.5,0.934,1.226,2.4,1.26,2.467,0.958,1.319,2.441,1.264,2.339,0.851,1.285,2.464,1.26,2.45,1.269,2.267,1.099,2.107,1.285,2.464,1.097,2.133,1.26,2.45,1.101,1.967,1.269,2.267
107030460F,32.481,43.491,13.669,12767,12.145,10.763,32.223,43.491,13.669,10984,15.015,10.741,34.187,44.112,1661,5.546,10.755,31.672,34.793,42.87,13.669,9299,21.792,10.763,33.844,14.29,33.844,1628,17.804,10.019,32.366,14.29,32.366,4554,24.902,11.003,29.715,12.426,29.715,2402,26.269,10.535,1.313,3.13,1.277,3.043,1.383,1.369,3.13,1.35,3.087,1.287,1.481,3.6,1.357,3.3,1.431,1.285,3.043,1.344,3.043,1.359,3.25,1.101,2.609,1.285,3.043,1.094,2.478,1.344,3.043,1.098,2.625,1.359,3.25
107030461T,41.152,48.461,27.337,11707,11.137,7.85,41.002,47.84,27.337,10156,13.883,7.739,42.128,49.704,1423,4.751,8.583,40.817,43.491,47.84,27.337,9342,21.893,7.664,40.674,25.784,40.674,1834,20.057,8.712,41.38,28.393,41.38,4854,26.542,7.346,39.549,27.337,39.549,2158,23.6,7.081,1.099,1.756,1.191,1.902,0.598,1.078,1.565,1.168,1.696,0.452,1.12,1.674,1.167,1.744,0.494,1.191,1.879,1.156,1.685,1.163,1.682,1.069,1.687,1.191,1.879,1.063,1.549,1.156,1.685,1.06,1.534,1.163,1.682
107030462F,40.889,49.083,26.095,11759,11.186,8.342,40.631,48.461,25.784,10189,13.929,8.374,42.513,50.325,1460,4.874,7.843,40.467,43.491,48.461,25.473,8615,20.189,8.548,40.156,25.473,40.156,1527,16.699,7.886,40.831,26.095,40.831,4212,23.031,8.516,39.996,24.231,39.996,2253,24.639,8.852,1.107,1.714,1.184,1.833,0.549,1.088,1.714,1.194,1.881,0.575,1.112,1.846,1.22,2.026,0.66,1.191,1.878,1.187,1.857,1.227,2.026,1.068,1.683,1.191,1.878,1.076,1.683,1.187,1.857,1.072,1.769,1.227,2.026
107030463T,42.041,49.083,27.337,12102,11.513,7.895,42.14,49.083,27.337,10497,14.35,7.868,41.144,48.461,1497,4.998,8.053,42.206,45.355,49.083,27.027,8883,20.817,8.016,41.595,28.58,41.595,1549,16.94,7.118,42.309,27.337,42.309,4337,23.715,8.037,42.259,26.095,42.259,2360,25.809,8.381,1.078,1.6,1.153,1.711,0.484,1.061,1.636,1.164,1.795,0.543,1.065,1.714,1.183,1.905,0.61,1.15,1.674,1.16,1.795,1.176,1.905,1.061,1.543,1.15,1.674,1.072,1.659,1.16,1.795,1.073,1.738,1.176,1.905
107030464T,41.483,49.083,24.852,13147,12.507,8.849,41.644,49.083,24.231,11411,15.599,8.817,40.19,48.461,1625,5.425,8.866,41.93,45.355,49.393,24.852,9708,22.75,8.779,39.464,22.988,39.464,1689,18.471,8.618,42.797,26.716,42.797,4690,25.645,8.311,41.715,23.609,41.715,2638,28.85,9.255,1.134,1.946,1.197,2.054,0.716,1.054,1.674,1.171,1.86,0.589,1.078,1.895,1.198,2.105,0.757,1.197,2.054,1.161,1.86,1.192,2.105,1.086,1.865,1.197,2.054,1.074,1.721,1.161,1.86,1.102,1.947,1.192,2.105
107030465T,42.13,49.083,26.716,13916,13.238,8.112,42.379,49.083,26.716,12011,16.419,8.04,40.2,48.461,1778,5.936,8.383,42.415,45.355,49.083,26.716,10198,23.899,8.171,40.145,25.784,40.145,1831,20.024,7.889,43.068,28.58,43.068,4930,26.958,7.763,42.58,24.852,42.58,2733,29.888,8.566,1.11,1.735,1.172,1.831,0.563,1.047,1.6,1.163,1.778,0.529,1.066,1.8,1.17,1.975,0.688,1.176,1.831,1.154,1.739,1.163,1.993,1.068,1.663,1.176,1.831,1.068,1.609,1.154,1.739,1.08,1.85,1.163,1.993
107030466T,42.156,49.083,27.337,13929,13.251,7.793,42.536,49.083,28.58,12013,16.422,7.443,39.389,48.461,1794,5.99,9.415,42.515,45.355,49.083,27.958,10210,23.927,7.611,40.829,27.958,40.829,1853,20.265,7.356,42.944,28.89,42.944,4933,26.974,7.42,42.754,26.716,42.754,2698,29.506,7.834,1.092,1.6,1.168,1.711,0.465,1.055,1.636,1.158,1.795,0.551,1.065,1.756,1.168,1.927,0.649,1.157,1.689,1.143,1.699,1.148,1.837,1.065,1.556,1.157,1.689,1.063,1.581,1.143,1.699,1.075,1.721,1.148,1.837
107030468T,35.78,45.976,16.464,15275,14.531,10.4,35.795,45.976,16.34,13201,18.046,10.394,35.363,45.355,1934,6.457,10.436,35.68,39.763,45.666,16.154,11229,26.315,10.492,34.982,16.154,34.982,2087,22.824,9.986,36.49,18.018,36.49,5342,29.21,10.109,34.29,13.669,34.29,2986,32.655,11.337,1.277,2.769,1.26,2.731,1.168,1.237,2.572,1.271,2.643,1.079,1.296,3.273,1.314,3.318,1.525,1.261,2.731,1.26,2.552,1.323,3.318,1.101,2.385,1.261,2.731,1.107,2.241,1.26,2.552,1.141,2.864,1.323,3.318
107030469F,41.194,48.461,26.716,12053,11.466,8.104,41.095,47.84,26.716,10447,14.281,8.042,41.863,49.083,1479,4.938,8.458,40.832,43.802,47.84,26.157,9626,22.558,8.073,41.95,26.095,41.95,1873,20.483,8.696,41.665,27.461,41.665,4983,27.247,7.701,37.982,24.852,37.982,2268,24.803,7.773,1.065,1.714,1.168,1.881,0.61,1.072,1.636,1.162,1.773,0.526,1.166,1.8,1.199,1.85,0.544,1.17,1.881,1.148,1.742,1.194,1.825,1.074,1.726,1.17,1.881,1.066,1.618,1.148,1.742,1.063,1.625,1.194,1.825
