,LINK_DIR,Shape_Leng,geometry,DIR_TRAVEL,MEAN_ALL,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_Wkd,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN_WEnd,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend,MEAN_Wdtime,PcntSpeed_60thWdtime,PcntSpeed_85thWdtime,PcntSpeed_5thWdtime,TotalIntervals_Wdtime,PcntInterval_Wdtime,StdDev_Wdtime,MEAN_WkdAM,PcntSpeed_5thWdayAM,AvgSpeed_WdayAM,TotalIntervals_WdayAM,PcntInterval_WdayAM,StdDev_WdayAM,MEAN_WkdMD,PcntSpeed_5thWdayMD,AvgSpeed_WdayMD,TotalIntervals_WdayMD,PcntInterval_WdayMD,StdDev_WdayMD,MEAN_WkdPM,PcntSpeed_5thWdayPM,AvgSpeed_WdayPM,TotalIntervals_WdayPM,PcntInterval_WdayPM,StdDev_WdayPM,TTI_SL_AM,PTI_SL_AM,TTI_85thALL_AM,PTI_85thALL_AM,BTI_AM,TTI_SL_MD,PTI_SL_MD,TTI_85th_MD,PTI_85th_MD,BTI_MD,TTI_SL_PM,PTI_SL_PM,TTI_85th_PM,PTI_85th_PM,BTI_PM,TTI_85thWd_AM,PTI_85thWd_AM,TTI_85thWd_MD,PTI_85thWd_MD,TTI_85thWd_PM,PTI_85thWd_PM,TTI_60thWdtime_AM,PTI_60thWdtime_AM,TTI_85thWdtime_AM,PTI_85thWdtime_AM,TTI_60thWdtime_MD,PTI_60thWdtime_MD,TTI_85thWdtime_MD,PTI_85thWdtime_MD,TTI_60thWdtime_PM,PTI_60thWdtime_PM,TTI_85thWdtime_PM,PTI_85thWdtime_PM
0,107030477T,1711.68689647,"LINESTRING (1580829.751393631 178659.7661308944, 1581008.989224136 178906.9929986447, 1581115.930939391 179045.1347827315, 1581231.51765047 179183.2575379759, 1581352.866817221 179321.3678260595, 1581494.412465885 179470.3589978963, 1581598.386995465 179572.093046397, 1581711.014394894 179677.4501191378, 1581823.641138136 179782.8075199723, 1581979.566679299 179920.8446454704)",T,32.665,42.87,13.979000000000001,19564,18.611,10.355,32.613,42.87,13.669,16437,22.47,10.323,32.618,43.49100000000001,2906,9.702,10.475,32.010999999999996,35.414,42.87,13.047,13894,18.993,10.479000000000001,30.456999999999997,11.805,30.456999999999997,2469,3.375,10.78,33.277,16.154,33.277,6695,9.152000000000001,9.557,29.941,10.873,29.941,3559,4.865,11.334000000000001,1.452,3.7889999999999997,1.351,3.5260000000000002,1.61,1.364,2.7689999999999997,1.307,2.654,1.031,1.4769999999999999,4.0,1.395,3.778,1.7080000000000002,1.3459999999999999,3.4739999999999998,1.288,2.654,1.411,3.886,1.122,2.895,1.3459999999999999,3.4739999999999998,1.083,2.231,1.288,2.654,1.133,3.12,1.411,3.886
1,111990715T,1760.1428175,"LINESTRING (1582987.911119297 181109.4465989769, 1583121.178241223 181436.902636975, 1583225.452638969 181684.3063416481, 1583277.581143633 181804.3667970598, 1583306.523014888 181862.5700927228, 1583367.256817311 181964.4045347273, 1583436.627085388 182062.5785509795, 1583477.071558297 182109.8323934823, 1583517.507829145 182153.4451671392, 1583557.944099978 182197.0576127321, 1583601.254052714 182237.0224278122, 1583693.636413887 182316.9399188906, 1583866.819466472 182451.3097288907, 1583962.074197218 182527.5802456439)",T,30.719,41.006,13.669,18709,17.798,10.31,30.328000000000003,41.006,13.669,15744,21.522,10.234,32.552,42.87,2751,9.185,10.437000000000001,29.802,32.929,40.384,13.047,13302,18.184,10.187000000000001,28.82,13.669,28.82,2409,3.293,10.332,30.329,14.29,30.329,6378,8.719,9.68,28.916,11.183,28.916,3419,4.6739999999999995,10.689,1.534,3.273,1.374,2.932,1.1340000000000001,1.4669999999999999,3.13,1.325,2.826,1.1340000000000001,1.518,4.0,1.37,3.611,1.636,1.358,2.864,1.3319999999999999,2.826,1.392,3.6,1.078,2.273,1.358,2.864,1.0959999999999999,2.326,1.3319999999999999,2.826,1.117,2.889,1.392,3.6
2,111990717F,1739.89065174,"LINESTRING (1583028.215828717 181091.1513599753, 1583091.960123807 181251.2442156374, 1583170.166988388 181436.7969941497, 1583248.364666641 181618.7083757222, 1583297.596195474 181731.491942808, 1583338.119408384 181815.1613948941, 1583378.603579387 181880.623206228, 1583459.555189133 182004.2637069821, 1583520.233217388 182080.6070582271, 1583603.987314969 182167.8260438889, 1583684.828360632 182240.4853473902, 1583762.748152301 182294.9429156482, 1583883.961492553 182382.0825051367, 1584008.071152464 182476.5002953112)",F,28.480999999999998,39.141999999999996,11.183,17393,16.546,10.241,28.147,38.521,11.183,14666,20.049,10.195,30.139,40.384,2542,8.487,10.214,27.686999999999998,30.444000000000003,37.899,10.562000000000001,13286,18.162,10.17,24.615,8.698,24.615,2419,3.307,10.722999999999999,29.171,11.805,29.171,6685,9.139,10.031,26.62,10.562000000000001,26.62,3267,4.466,9.737,1.7590000000000001,5.143,1.4780000000000002,4.322,1.9240000000000002,1.521,3.7889999999999997,1.3419999999999999,3.342,1.4909999999999999,1.669,4.235,1.344,3.412,1.538,1.464,4.143,1.3419999999999999,3.3160000000000003,1.33,3.353,1.06,3.0,1.464,4.143,1.1079999999999999,2.737,1.3419999999999999,3.3160000000000003,1.097,2.765,1.33,3.353
3,111990719T,1578.14684433,"LINESTRING (1581979.566679299 179920.8446454704, 1582147.042066142 180069.7820116431, 1582357.830686554 180258.6832086444, 1582467.546674475 180353.124948889, 1582554.183312222 180436.6926951408, 1582617.733710051 180505.7447223961, 1582684.1892858 180585.715362981, 1582747.770523474 180669.3339621425, 1582822.933758974 180778.4187177271, 1582874.994678468 180865.7039762288, 1582921.292158052 180953.0020299703, 1582973.423615471 181073.0621573031, 1582987.911119297 181109.4465989769)",T,35.426,45.169,19.26,18788,17.873,9.651,34.939,44.733999999999995,18.639,15809,21.611,9.586,37.77,47.218999999999994,2767,9.238,9.59,34.518,37.899,44.111999999999995,18.018,13297,18.177,9.727,32.717,17.396,32.717,2378,3.2510000000000003,9.897,35.694,20.503,35.694,6445,8.81,9.029,32.758,13.669,32.758,3374,4.612,10.375,1.351,2.483,1.294,2.379,0.838,1.249,2.182,1.266,2.2119999999999997,0.747,1.335,3.13,1.317,3.0869999999999997,1.345,1.291,2.4290000000000003,1.253,2.182,1.328,3.182,1.082,2.036,1.291,2.4290000000000003,1.079,1.879,1.253,2.182,1.119,2.682,1.328,3.182
4,111990720F,1593.31388014,"LINESTRING (1582008.321214974 179891.6485096365, 1582106.496215478 179978.8310780674, 1582302.84490414 180153.1971991509, 1582452.994210139 180287.6080195606, 1582554.056343973 180378.4273917228, 1582632.039455727 180458.3727698922, 1582686.936327547 180523.8021009713, 1582767.847911134 180625.5909393877, 1582843.003272638 180731.0342980623, 1582909.52840206 180843.7798074782, 1582967.407879472 180956.5440176427, 1583013.728652969 181054.7669183165, 1583028.215828717 181091.1513599753)",F,33.135,42.248000000000005,19.26,17623,16.765,8.988999999999999,32.547,41.626999999999995,18.639,14878,20.338,8.835,36.235,45.976000000000006,2561,8.55,9.149,32.186,34.171,41.006,18.639,13339,18.235,8.755,29.919,14.911,29.919,2409,3.293,10.15,33.339,20.503,33.339,6735,9.207,8.259,31.18,18.639,31.18,3268,4.467,8.315,1.466,2.88,1.364,2.68,0.965,1.3259999999999998,2.182,1.252,2.061,0.6459999999999999,1.3969999999999998,2.4,1.286,2.21,0.718,1.371,2.75,1.249,2.03,1.275,2.133,1.069,2.146,1.371,2.75,1.062,1.7269999999999999,1.249,2.03,1.046,1.75,1.275,2.133
5,111999151F,1734.78082085,"LINESTRING (1580849.810736716 178608.7386738956, 1580864.270025387 178630.5558874756, 1581057.974362388 178903.2416938096, 1581144.685475051 179015.9376626462, 1581257.390302137 179154.0669795573, 1581370.069210634 179281.2721057236, 1581453.8472583 179372.1259266436, 1581615.597590968 179535.6390510648, 1581722.453348383 179637.3671940565, 1581913.035316303 179808.1017607301, 1582008.321214974 179891.6485096365)",F,31.796,41.626999999999995,15.532,18324,17.432000000000002,9.676,31.298000000000002,41.006,15.532,15474,21.153000000000002,9.651,34.35,43.305,2656,8.868,9.37,30.939,33.55,40.384,14.911,13839,18.918,9.567,28.695,12.737,28.695,2535,3.465,10.515999999999998,32.069,16.464000000000002,32.069,6955,9.508,9.247,29.885,14.29,29.885,3384,4.626,9.229,1.525,3.429,1.3980000000000001,3.1430000000000002,1.248,1.381,2.667,1.285,2.481,0.9309999999999999,1.463,3.13,1.3,2.783,1.14,1.386,3.122,1.284,2.502,1.2890000000000001,2.696,1.061,2.39,1.386,3.122,1.0659999999999998,2.075,1.284,2.502,1.081,2.261,1.2890000000000001,2.696
