,MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
0,28.964983718554578,7.4997194011430794,62648.0,61.448524795982415,35.1,16.7,29.7,1.2267589917624127,1.1528407548222357,1.2371611011863892,1.7559808612440193,1.8971428571428572,2.287878787878788,0.4313984026490034,0.6456243841200691,0.8492973838934974,All
0,28.567882907575925,7.55639196115047,45605.0,62.83757716049383,34.8,16.1,29.5,1.1856275516437065,1.1581658673690256,1.2926782185909462,1.6346153846153846,1.9294117647058822,2.56198347107438,0.378692138479086,0.6659200716119145,0.981918960363555,Wkd
0,30.02757730446516,7.239793647370184,17043.0,58.01674836601307,36.0,19.4,30.3,1.2418896282211604,1.1307874825492192,1.1460899609950395,1.821576763485477,1.6585365853658536,1.7914110429447851,0.46677830468287285,0.4667093604776116,0.5630632008934757,Wend
0,28.676796480364988,6.689149104797993,6137.0,67.91722000885348,34.0,20.8,29.3,1.1856275516437065,,,1.6346153846153846,,,0.378692138479086,,,WkdAM
0,28.320641217402546,5.564221289977452,15377.0,84.74977954144622,32.8,17.0,30.0,,1.1581658673690256,,,1.9294117647058822,,,0.6659200716119145,,WkdMD
0,23.981219420399015,7.227114344603017,7971.0,87.86375661375662,31.0,12.1,26.7,,,1.2926782185909462,,,2.56198347107438,,,0.981918960363555,WkdPM
