,MEAN,STDDEV,TotalIntervals,PctInterval,85th_Speed,5th_Speed,60th_Speed,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
0,28.853595152600704,8.60574340152481,66840.0,65.560263653484,37.4,14.4,30.6,1.2410060566377348,1.2203439933832956,1.3385642437405272,1.9855072463768118,2.1835443037974684,2.495798319327731,0.5999174506498048,0.7892859026935388,0.864533832424353,All
0,28.981340542745066,8.632942219273376,49010.0,67.52921075837742,37.4,14.4,31.0,1.2345339092014842,1.204556777813024,1.3279165326212425,1.938679245283019,2.0292397660818713,2.3813559322033897,0.5703734266294773,0.6846360449410529,0.7933024205239083,Wkd
0,28.502456533932392,8.520912937197215,17830.0,60.695806100217865,36.9,14.4,30.0,1.270722166187371,1.246692827522746,1.2909304063554847,2.140625,2.375886524822695,2.5196850393700787,0.6845735889086237,0.9057513385584524,0.9518364638133954,Wend
0,33.29191664454492,7.757314929548121,7534.0,83.377600708278,41.1,21.2,35.0,1.2345339092014842,,,1.938679245283019,,,0.5703734266294773,,,WkdAM
0,28.80727636849201,6.360572806067079,16478.0,90.8179012345679,34.7,17.1,30.4,,1.204556777813024,,,2.0292397660818713,,,0.6846360449410529,,WkdMD
0,21.16096856218212,6.591385363364396,8652.0,95.37037037037037,28.1,11.8,22.5,,,1.3279165326212425,,,2.3813559322033897,,,0.7933024205239083,WkdPM
