,MEAN,STDDEV,85th_Speed,60th_Speed,TotalIntervals,PctInterval,TTI_85AM,TTI_85MD,TTI_85PM,PTI_85AM,PTI_85MD,PTI_85PM,BTI_AM,BTI_MD,BTI_PM,Timeframe
0,32.39998442102906,6.712498053736247,38.8,33.6,70608.0,0.6964962121212122,1.325536604199276,1.1583201878903557,1.183280825363626,1.325536604199276,1.1583201878903557,1.183280825363626,0.5399326634477386,0.3551280099903802,0.40588046912527664,All
0,31.687894347844637,6.610254685797513,37.9,32.9,51414.0,0.711238379814077,1.2932151348284144,1.1491158844744145,1.1729296798088673,1.2932151348284144,1.1491158844744145,1.1729296798088673,0.4810713730148588,0.3377154588266025,0.3849194657642301,Wkd
0,34.30742419506127,6.611505029285352,40.4,35.6,19194.0,0.6598597359735974,1.1934227964436765,1.1454256376401457,1.1755439027111423,1.1934227964436765,1.1454256376401457,1.1755439027111423,0.5437309031990074,0.38577445374089336,0.45437138962809565,Wend
0,27.99224894998083,7.5986294686318105,36.2,28.0,7857.0,0.873,1.2932151348284144,,,1.9153439153439156,,,0.4810713730148588,,,WkdAM
0,32.372714103603776,5.194406735688896,37.2,33.5,17258.0,0.9549579459938026,,1.1491158844744145,,,1.5371900826446283,,,0.3377154588266025,,WkdMD
0,29.498784620778103,5.587503247298893,34.6,30.3,8557.0,0.9469898185037627,,,1.1729296798088673,,,1.624413145539906,,,0.3849194657642301,WkdPM
